feature,importance
status_checking_account_A14,0.203815500252735
status_checking_account_A11,0.18473185241685108
purpose_A41,0.15164460201181815
credit_history_A34,0.13888080802564867
savings_type_A61,0.12111705816658906
purpose_A40,0.11885405106813933
log_credit_amount,0.108728210445232
debtors_A103,0.09306666977683113
purpose_A43,0.08799845806418749
other_installments_A143,0.08646846127351861
years_of_employment_A74,0.08252506831441794
purpose_A46,0.0824903202405102
property_A124,0.07716706805066875
savings_type_A65,0.07112130692295135
high_amount,0.06861772436448012
pct_fee_income,0.06372593375946013
credit_history_A31,0.06242115213078246
credit_history_A30,0.06095521832357268
status_checking_account_A12,0.058928290147373226
housing_A151,0.058893807909549
property_A121,0.057249950689871466
debtors_A102,0.05609822167852202
foreign_worker_A202,0.051232285290226894
foreign_worker_A201,0.05123228529022665
housing_A152,0.04971174852267309
status_sex_A92,0.049638167181802674
status_sex_A93,0.0491436090686301
savings_type_A64,0.04871128687407895
other_installments_A142,0.04578105270375686
telephone_A191,0.04329478481740624
telephone_A192,0.0432947848174062
purpose_encoded,0.043003779084280165
other_installments_A141,0.04068740856976163
status_checking_account_A13,0.03984464231149094
years_of_employment_A72,0.03862060521066487
debtors_A101,0.03696844809830862
high_duration,0.0333635642485402
savings_type_A63,0.031281201556484145
savings_type_A62,0.029996737186925346
purpose_A45,0.02893797651580936
job_A174,0.027740483690270754
property_A123,0.025253450704604555
years_of_employment_A71,0.024910004217854373
status_sex_A94,0.02423932993117904
status_sex_A91,0.02374477181800651
credit_history_A32,0.02070505448984956
month_credit_duration,0.019300228344437204
job_A171,0.01836367532041933
job_A172,0.014189318408900246
num_existing_credits,0.012692970791399224
age,0.012101881828709918
purpose_A410,0.011730984124482834
years_of_employment_A73,0.011241545129124146
housing_A153,0.009182059386874877
purpose_A49,0.008496071257228345
purpose_A42,0.008189911387903776
years_of_employment_A75,0.007752913756774273
property_A122,0.0053363333438067075
credit_history_A33,0.005200616918555583
job_A173,0.004812510039048893
purpose_A48,0.0031148317789488275
credit_to_duration_ratio,0.0008141436615481406
purpose_A44,0.00043840003668575863
age_squared,7.572766443152955e-05
credit_amount,7.372836190919837e-06
high_risk_profile,0.0
